stockname,PE,MCap,AvgVol
HARRMALAYA,0,0,103086
FEDERALBNK,0,0,743801
TATASTEEL,0,0,969209
SKFINDIA,0,0,1995
ASHOKLEY,22.474749,2.40619E+11,1467357
CUMMINSIND,0,0,37230
TATACOMM,-70.26245,1.48784E+11,92775
ABBOTINDIA,0,0,3542
BAJAJHLDNG,0,0,2862
BHARATFORG,32.35136,2.10271E+11,123652
ESCORTS,53.89319,41528377344,598440
HINDMOTORS,0,0,233688
LT,0,0,169734
M&amp;M,0,0,0
BOSCHLTD,0,0,2263
PREMIER,-3.5464416,892954432,3786
BPCL,5.3161807,4.24306E+11,206149
SIEMENS,38.217903,4.48836E+11,20224
TATAMOTORS,16.97176,1.87951E+12,916297
VOLTAS,33.55794,1.29359E+11,131043
GESHIP,5.3299417,55856480256,17459
DEEPAKFERT,17.708492,20415023104,54987
EXCELINDUS*,0,0,0
GARWARPOLY,18.114407,2990174464,4969
GLAXO,0,0,1356
GNFC,11.144378,26032683008,171861
NOVARTIND,0,0,14481
SANOFI,0,0,3124
GSKCONS,0,0,426
PFIZER,41.120422,91605196800,4524
GSFC,7.587448,29387753472,176364
HINDUNILVR,0,0,128360
AKZOINDIA,0,0,1699
NOCIL,14.230769,11005870080,538774
TATACHEM,18.086218,1.41084E+11,109986
TNPETRO,5.4634147,2015361664,38241
ZUARIGLOB,0,0,1715
NESTLEIND,0,0,2645
TATAGLOBAL,0,0,252078
ASIANPAINT,61.73458,1.11598E+12,88951
BRITANNIA,49.20318,4.09316E+11,21211
COLPAL,0,0,36705
EIHOTEL,0,0,20202
INDHOTEL,0,0,128021
CASTROLIND,0,0,177532
ITC,31.531694,3.11608E+12,923587
APOLLOTYRE,10.305078,1.12622E+11,399174
CEATLTD,0,0,88494
MODIRUBBER,0,0,1390
FINOLEXIND,24.4081,58337058816,11979
VALUEIND,0,0,7194
SBBJ,5.611884,47733002240,49438
SUNRINV,0,0,0
ZGOLDINV,0,0,0
PEOPLIN,0,0,0
DSINVEST,-1.9219587,39573292,61
CENTRUM,34.583332,12085757952,224115
KARTKIN,0,0,0
ROSEI,0,0,0
ZSURYODI,0,0,0
OSCAR,-120.96774,3888134912,99
BIDL,0,0,0
TCIFINANCE,0,0,13137
KRATOSENER,0,0,0
ZCHANAIN,0,0,0
IITL,119.117645,1826355584,488
INDPRUD,3.0292246,648684672,549
TATAINVEST,18.432167,35825135616,13812
JAYBHCR,-0.93740904,32200000,365
MOTOGENFIN,0,0,309
RAPIDIN,0,0,0
WALCHPF,15.271396,405237856,4047
ZSWASTSA,0,0,0
WHBRADY,18.973083,408000000,419
TECHNVISN,0,0,276
SHAILY,31.264769,4842574336,6822
BBTC,0,0,40991
BOMBCYC,16.490973,272200000,15
GREAVESCOT,0,0,26356
MACK,0,0,0
MULLER,-74.33628,52500000,30
ZNEWSAGA,0,0,0
ANANDPROJ,0,0,0
INDIANVSH,-139.54544,1738387456,3678
CENTPROV,-12.343709,10467840,6
COASTCORP,0,0,1
CHOWGULSTM,0,0,4902
GLOBOFFS,0,0,12750
DHENUBUILD,0,0,2
ASSOSTNB,31.656805,1418471168,48630
SAGCEM,0,0,5469
DECCANCE,14.715603,6704339456,3695
KLYNCEM,0,0,0
MANGLMCEM,0,0,18657
OCL,21.388618,50043727872,4646
NCLIND,8.401384,4241388288,35478
SAURASHCEM,10.479361,4028739328,104049
SHREDIGCEM,0,0,173197
BOMBPOT,0,0,0
BOROSIL,23.11747,13032363008,1123
MARATHR,17510.002,315179648,0
RASSIREF,-2.8333333,68104872,6
TRIVENIGQ,5.584416,271317088,39152
IPAPPM,0,0,17790
BALKRISIND,0,0,16853
MYSPAPE,-0.62517923,518373504,35181
NATHPULP,0,0,0
ORIENTPPR,0,0,203153
CITADEL,0,0,827
ROLLT,-29.003723,3895774720,375631
